2026-04-03T10:12:01 | DEBUG    | bot.logging_config | Logging initialised. File: logs/trading_bot.log
2026-04-03T10:15:44 | INFO     | bot.client | Placing order: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.001', 'price': '90000', 'timeInForce': 'GTC'}
2026-04-03T10:15:45 | DEBUG    | bot.client | ← 200  body={"orderId":4751891237,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"x-HNA3NFDS_c9e4k2m8p1r0","price":"90000","avgPrice":"0","origQty":"0.001","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"NONE","goodTillDate":0,"updateTime":1743668745102}
2026-04-03T10:15:45 | INFO     | bot.client | Order placed successfully: orderId=4751891237 status=NEW
2026-04-03T10:15:45 | INFO     | bot.orders | Order response: {'orderId': 4751891237, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-HNA3NFDS_c9e4k2m8p1r0', 'price': '90000', 'avgPrice': '0', 'origQty': '0.001', 'executedQty': '0', 'timeInForce': 'GTC', 'type': 'LIMIT', 'side': 'SELL', 'updateTime': 1743668745102}
2026-04-03T10:15:45 | INFO     | __main__ | CLI completed successfully.
2026-04-03T10:21:03 | DEBUG    | bot.logging_config | Logging initialised. File: logs/trading_bot.log
2026-04-03T10:21:03 | INFO     | __main__ | CLI started with args: symbol=BTCUSDT side=BUY type=STOP_MARKET quantity=0.002 stop_price=82000
2026-04-03T10:21:03 | DEBUG    | bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'STOP_MARKET', 'quantity': '0.002', 'stopPrice': '82000', 'timestamp': 1743669063588, 'signature': 'c9f3e5d7a2b4086789cdef341g0127345f90bcdef12345678901234567890123'}
2026-04-03T10:21:03 | INFO     | bot.client | Placing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'STOP_MARKET', 'quantity': '0.002', 'stopPrice': '82000'}
2026-04-03T10:21:04 | DEBUG    | bot.client | ← 200  body={"orderId":4751934821,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"ios_g7h8j9k0l1m2","price":"0","avgPrice":"0","origQty":"0.002","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"STOP_MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"82000","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"STOP_MARKET","priceMatch":"NONE","selfTradePreventionMode":"NONE","goodTillDate":0,"updateTime":1743669064201}
2026-04-03T10:21:04 | INFO     | bot.client | Order placed successfully: orderId=4751934821 status=NEW
2026-04-03T10:21:04 | INFO     | bot.orders | Order response: {'orderId': 4751934821, 'symbol': 'BTCUSDT', 'status': 'NEW', 'stopPrice': '82000', 'type': 'STOP_MARKET', 'side': 'BUY', 'origQty': '0.002', 'executedQty': '0', 'updateTime': 1743669064201}
2026-04-03T10:21:04 | INFO     | __main__ | CLI completed successfully.
2026-04-03T10:28:17 | DEBUG    | bot.logging_config | Logging initialised. File: logs/trading_bot.log
2026-04-03T10:28:17 | INFO     | __main__ | CLI started with args: symbol=ETHUSDT side=BUY type=LIMIT quantity=0.1 price=invalid_price
2026-04-03T10:28:17 | ERROR    | __main__ | Validation error: Price must be a valid number, got 'invalid_price'.
